title,type,question,A,B,C,D,answer,image
Inovasi APlus T3 Bab 7,radio,F3 Bab 7,A,B,C,D,B,Inovasi/Picture65.png
,radio,F3 Bab 7,A,B,C,D,C,Inovasi/Picture66.png
,radio,F3 Bab 7,A,B,C,D,D,Inovasi/Picture67.png
,radio,F3 Bab 7,A,B,C,D,C,Inovasi/Picture68.png
,radio,F3 Bab 7,A,B,C,D,B,Inovasi/Picture69.png
,radio,F3 Bab 7,A,B,C,D,D,Inovasi/Picture70.png
,radio,F3 Bab 7,A,B,C,D,A,Inovasi/Picture71.png
,radio,F3 Bab 7,A,B,C,D,A,Inovasi/Picture72.png
,radio,F3 Bab 7,A,B,C,D,C,Inovasi/Picture73.png
,radio,F3 Bab 7,A,B,C,D,B,Inovasi/Picture74.png
,radio,F3 Bab 7,A,B,C,D,D,Inovasi/Picture75.png
,radio,F3 Bab 7,A,B,C,D,C,Inovasi/Picture76.png
,radio,F3 Bab 7,A,B,C,D,D,Inovasi/Picture77.png
,radio,F3 Bab 7,A,B,C,D,C,Inovasi/Picture78.png
,radio,F3 Bab 7,A,B,C,D,D,Inovasi/Picture79.png
