title,type,question,A,B,C,D,answer,image
Inovasi A+ Plus T3 Kertas Model UASA,radio,F3 Bab 1,A,B,C,D,C,Inovasiuasa/Picture1.png
,radio,F3 Bab 1,A,B,C,D,A,Inovasiuasa/Picture2.png
,radio,F3 Bab 1,A,B,C,D,D,Inovasiuasa/Picture3.png
,radio,F3 Bab 2,A,B,C,D,D,Inovasiuasa/Picture4.png
,radio,F3 Bab 2,A,B,C,D,B,Inovasiuasa/Picture5.png
,radio,F3 Bab 2,A,B,C,D,D,Inovasiuasa/Picture6.png
,radio,F3 Bab 3,A,B,C,D,B,Inovasiuasa/Picture7.png
,radio,F3 Bab 3,A,B,C,D,B,Inovasiuasa/Picture8.png
,radio,F3 Bab 3,A,B,C,D,A,Inovasiuasa/Picture9.png
,radio,F3 Bab 4,A,B,C,D,D,Inovasiuasa/Picture10.png
,radio,F3 Bab 4,A,B,C,D,C,Inovasiuasa/Picture11.png
,radio,F3 Bab 4,A,B,C,D,A,Inovasiuasa/Picture12.png
,radio,F3 Bab 5,A,B,C,D,B,Inovasiuasa/Picture13.png
,radio,F3 Bab 5,A,B,C,D,B,Inovasiuasa/Picture14.png
,radio,F3 Bab 6,A,B,C,D,A,Inovasiuasa/Picture15.png
,radio,F3 Bab 6,A,B,C,D,A,Inovasiuasa/Picture16.png
,radio,F3 Bab 7,A,B,C,D,B,Inovasiuasa/Picture17.png
,radio,F3 Bab 7,A,B,C,D,D,Inovasiuasa/Picture18.png
,radio,F3 Bab 8,A,B,C,D,D,Inovasiuasa/Picture19.png
,radio,F3 Bab 8,A,B,C,D,A,Inovasiuasa/Picture20.png
