title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Sejarah T3 Bab 2,radio,F3 Bab 2,A,B,C,D,C,Galus/Picture8.png
,radio,F3 Bab 2,A,B,C,D,A,Galus/Picture9.png
,radio,F3 Bab 2,A,B,C,D,B,Galus/Picture10.png
,radio,F3 Bab 2,A,B,C,D,B,Galus/Picture11.png
,radio,F3 Bab 2,A,B,C,D,C,Galus/Picture12.png
,radio,F3 Bab 2,A,B,C,D,D,Galus/Picture13.png
,radio,F3 Bab 2,A,B,C,D,D,Galus/Picture14.png
,radio,F3 Bab 2,A,B,C,D,A,Galus/Picture15.png
,radio,F3 Bab 2,A,B,C,D,A,Galus/Picture16.png
,radio,F3 Bab 2,A,B,C,D,D,Galus/Picture17.png
,radio,F3 Bab 2,A,B,C,D,C,Galus/Picture18.png
